Run ID,rounds,hands,wins,losses,busts,pushes,blackjacks,surrenders
1,1000,6171,2549,1981,845,519,263,277
2,FullHiLoRules,1000,6153,2544,2055,735,530,262,289
3,FullHiLoRules,1000,6184,2589,2028,805,465,261,297
4,FullHiLoRules,1000,5825,2439,1874,739,472,237,301
5,FullHiLoRules,1000,6188,2678,1955,771,499,271,285
6,FullHiLoRules,1000,6156,2618,1956,759,517,269,306
7,FullHiLoRules,1000,6164,2615,1948,823,487,268,291
8,FullHiLoRules,1000,6178,2623,2037,760,470,294,288
9,FullHiLoRules,1000,6164,2614,1927,775,535,253,313
10,FullHiLoRules,1000,6165,2665,1988,752,498,297,262
11,FullHiLoRules,1000,6174,2632,1959,799,474,282,310
12,FullHiLoRules,1000,6162,2530,2075,799,482,255,276
13,FullHiLoRules,1000,5956,2588,1860,740,489,254,279
14,FullHiLoRules,1000,6153,2592,1898,822,536,298,305
15,FullHiLoRules,1000,6173,2592,2078,762,485,272,256
16,FullHiLoRules,1000,6150,2720,1916,759,498,272,257
17,FullHiLoRules,1000,5399,2334,1653,721,423,228,268
18,FullHiLoRules,1000,5785,2361,1956,718,487,239,263
19,FullHiLoRules,1000,6166,2566,2052,767,487,269,294
20,FullHiLoRules,1000,5763,2367,1919,758,460,239,259
21,FullHiLoRules,50000,308204,130245,99227,39150,25137,13595,14445
22,FullHiLoRules,50000,308453,130475,99074,39424,25025,13632,14455
23,FullHiLoRules,10,60,20,20,9,8,4,3
24,FullHiLoRules,10,61,32,11,7,7,1,4
25,FullHiLoRules,10,64,23,17,13,8,2,3
